active,passive,verb
The woman zipped the pants.,The pants were zipped by the woman.,zip
The hiker zipped the tent bag.,The tent bag was zipped by the hiker.,zip
The artist zipped the portfolio.,The portfolio was zipped by the artist.,zip
The photographer zipped the camera case.,The camera case was zipped by the photographer.,zip
The teacher divided the class.,The class was divided by the teacher.,divide
The chef divided the cake.,The cake was divided by the chef.,divide
The committee divided the funds.,The funds were divided by the committee.,divide
The team divided the tasks.,The tasks were divided by the team.,divide
The manager divided the responsibilities.,The responsibilities were divided by the manager.,divide
The scientist divided the data.,The data was divided by the scientist.,divide
The children divided the toys.,The toys were divided by the children.,divide
The artist divided the canvas.,The canvas was divided by the artist.,divide
The siblings divided the inheritance.,The inheritance was divided by the siblings.,divide
The locksmith unbolted the door.,The door was unbolted by the locksmith.,unbolt
She unbolted the gate.,The gate was unbolted by her.,unbolt
The worker unbolted the machine.,The machine was unbolted by the worker.,unbolt
The thief unbolted the window.,The window was unbolted by the thief.,unbolt
The team unbolted the equipment.,The equipment was unbolted by the team.,unbolt
The technician unbolted the panel.,The panel was unbolted by the technician.,unbolt
He unbolted the lock.,The lock was unbolted by him.,unbolt
The police officer unbolted the handcuffs.,The handcuffs were unbolted by the police officer.,unbolt
The carpenter unbolted the frame.,The frame was unbolted by the carpenter.,unbolt
The locksmith unlocked the door.,The door was unlocked by the locksmith.,unlock
She unlocked the cabinet.,The cabinet was unlocked by her.,unlock
The manager unlocked the safe.,The safe was unlocked by the manager.,unlock
A student unlocked the classroom.,The classroom was unlocked by a student.,unlock
The technician unlocked the computer.,The computer was unlocked by the technician.,unlock
The waiter unlocked the wine cellar.,The wine cellar was unlocked by the waiter.,unlock
The child unlocked the treasure chest.,The treasure chest was unlocked by the child.,unlock
The custom agent unlocked the suitcase.,The suitcase was unlocked by the custom agent.,unlock
The artist unlocked the gallery.,The gallery was unlocked by the artist.,unlock
The girl unzipped her jacket.,The jacket was unzipped by the girl.,unzip
The boy unzipped the backpack.,The backpack was unzipped by the boy.,unzip
The scientist unzipped the folder.,The folder was unzipped by the scientist.,unzip
The teacher unzipped the case.,The case was unzipped by the teacher.,unzip
The hiker unzipped the tent.,The tent was unzipped by the hiker.,unzip
The artist unzipped the portfolio.,The portfolio was unzipped by the artist.,unzip
The student unzipped the laptop.,The laptop was unzipped by the student.,unzip
The child unzipped the suitcase.,The suitcase was unzipped by the child.,unzip
The performer unzipped the costume.,The costume was unzipped by the performer.,unzip
The artist painted a mural.,The mural was painted by the artist.,paint
The child painted the fence.,The fence was painted by the child.,paint
The woman painted a portrait.,The portrait was painted by the woman.,paint
A student painted the canvas.,The canvas was painted by a student.,paint
The team painted the house.,The house was painted by the team.,paint
The painter painted the scene.,The scene was painted by the painter.,paint
The mother painted the room.,The room was painted by the mother.,paint
The workers painted the playground.,The playground was painted by the workers.,paint
The group painted a banner.,The banner was painted by the group.,paint
The carpenter varnished the table.  ,The table was varnished by the carpenter.,varnish
The artist varnished the painting.  ,The painting was varnished by the artist.,varnish
The homeowner varnished the floor.  ,The floor was varnished by the homeowner.,varnish
The student varnished the project.  ,The project was varnished by the student.,varnish
The woodworker varnished the shelves.  ,The shelves were varnished by the woodworker.,varnish
The craftsman varnished the sculpture.  ,The sculpture was varnished by the craftsman.,varnish
The decorator varnished the cabinets.  ,The cabinets were varnished by the decorator.,varnish
The professional varnished the doors.  ,The doors were varnished by the professional.,varnish
The builder varnished the railing.  ,The railing was varnished by the builder.,varnish
The manager signed the contract.,The contract was signed by the manager.,sign
The artist signed the painting.,The painting was signed by the artist.,sign
The child signed the name.,The name was signed by the child.,sign
The teacher signed the report.,The report was signed by the teacher.,sign
The athlete signed the jersey.,The jersey was signed by the athlete.,sign
The director signed the agreement.,The agreement was signed by the director.,sign
The author signed the books.,The books were signed by the author.,sign
The official signed the document.,The document was signed by the official.,sign
The musician signed the record.,The record was signed by the musician.,sign
The artist drew a landscape.,The landscape was drawn by the artist.,draw
A child drew a picture.,The picture was drawn by a child.,draw
The teacher drew a diagram.,The diagram was drawn by the teacher.,draw
The student drew a portrait.,The portrait was drawn by the student.,draw
The architect drew a blueprint.,The blueprint was drawn by the architect.,draw
The author drew inspiration from nature.,The inspiration was drawn from nature by the author.,draw
The designer drew a dress pattern.,The dress pattern was drawn by the designer.,draw
The cartoonist drew a comic strip.,The comic strip was drawn by the cartoonist.,draw
The scientist drew a conclusion.,A conclusion was drawn by the scientist.,draw
The artist sketched a portrait.,The portrait was sketched by the artist.,sketch
The student sketched a landscape.,The landscape was sketched by the student.,sketch
The teacher sketched a diagram.,The diagram was sketched by the teacher.,sketch
The child sketched a butterfly.,The butterfly was sketched by the child.,sketch
The architect sketched a building.,The building was sketched by the architect.,sketch
The designer sketched a dress.,The dress was sketched by the designer.,sketch
The author sketched a character.,The character was sketched by the author.,sketch
The visitor sketched the scenery.,The scenery was sketched by the visitor.,sketch
The painter sketched an idea.,The idea was sketched by the painter.,sketch
The secretary typed the report.  ,The report was typed by the secretary.,type
A student typed an essay.  ,The essay was typed by a student.,type
The author typed a novel.  ,The novel was typed by the author.,type
The assistant typed the instructions.  ,The instructions were typed by the assistant.,type
A journalist typed the article.  ,The article was typed by a journalist.,type
The editor typed the corrections.  ,The corrections were typed by the editor.,type
The programmer typed the code.  ,The code was typed by the programmer.,type
A researcher typed the findings.  ,The findings were typed by a researcher.,type
